person_code,person_name,jugador,person_alias,person_aliasRaw,person_passportName,person_passportSurname,person_jerseyName,person_abbreviatedName,person_country_code,person_country_name,person_height,person_weight,person_birthDate,code,name,person_twitterAccount,person_instagramAccount,person_facebookAccount,person_isReferee,person_images_1,type,typeName,active,startDate,endDate,order,dorsal,dorsalRaw,position,positionName,lastTeam,externalId,headshot,action,club_code,club_name,club_abbreviatedName,club_editorialName,club_tvCode,club_isVirtual,crest,season_name,season_code,season_alias,season_competitionCode,season_year,season_startDate
006154,"BERUCKA, ARNAS",Arnas Berucka,ARNAS BERUCKA,ARNAS BERUCKA,ARNAS,BERUCKA,BERUCHKA,,LTU,Lithuania,196,85,1997-03-17T00:00:00,LTU,Lithuania,,,,FALSE,NA,J,Player,TRUE,2026-09-08T13:54:47.779,2027-06-30T00:00:00,0,21,21,2,Forward,NEPTUNAS,56138,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS5/ca6a4feb-295d-4e1c-97cf-d6ed532e6ea8.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS5/ca6a4feb-295d-4e1c-97cf-d6ed532e6ea8.png,KLA,Neptunas Klaipeda,Neptunas,Neptunas,NEP,FALSE,https://media-cdn.cortextech.io/ed0df5cd-c9e4-4387-bcd4-3606270cd255.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
003398,"BERZINS, JANIS",Janis Berzins,Berzins,Berzins,JANIS,BERZINS,BERZINŠ,"Berzins, J.",LAT,Latvia,201,99,1993-05-04T00:00:00,LAT,Latvia,,,,FALSE,NA,J,Player,TRUE,2026-09-10T14:28:25.381,2027-06-30T00:00:00,0,31,31,2,Forward,BK RIGAS ZELLI,56491,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/d23d24a7-7216-4cdb-8356-f4978a53fccd.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/d23d24a7-7216-4cdb-8356-f4978a53fccd.png,RIG,Riga Zelli,Riga Zelli,Riga Zelli,RIG,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCpC/0ab8fe2a-5972-48c5-bdff-f5159ca0abe7.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
014840,"BESLAC, DUSAN",Dusan Beslac,"BESLAC, DUSAN","BESLAC, DUSAN",DUSAN,BESLAC,BESLAC,NA,SRB,Serbia,204,103,1998-10-06T00:00:00,SRB,Serbia,,,,FALSE,NA,J,Player,TRUE,2026-09-08T10:47:12.864,2027-06-30T00:00:00,0,3,3,2,Forward,BC AVTODOR SARATOV,55929,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/d8a37892-9e2c-47e6-8bb0-0d6a7fb6c6f1.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/d8a37892-9e2c-47e6-8bb0-0d6a7fb6c6f1.png,CLU,U-BT Cluj-Napoca,U-BT Cluj,Cluj,UBT,FALSE,https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
013300,"BESS, JAVON",Javon Bess,"BESS, JAVON","BESS, JAVON",JAVON ANTHONY,BESS,BESS,,USA,United States of America,195,96,1996-04-01T00:00:00,USA,United States of America,,,,FALSE,NA,J,Player,TRUE,2026-09-08T10:47:14.156,2027-06-30T00:00:00,0,20,20,2,Forward,IGOKEA MTEL,55934,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/be0c63b4-ba7c-47b0-9b05-f71da836cc9b.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/be0c63b4-ba7c-47b0-9b05-f71da836cc9b.png,CLU,U-BT Cluj-Napoca,U-BT Cluj,Cluj,UBT,FALSE,https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
014857,"BIGELOW, ISAIAH",Isaiah Bigelow,"BIGELOW, ISAIAH","BIGELOW, ISAIAH",ISAIAH JEWELS,BIGELOW,BIGELOW,NA,USA,United States of America,201,93,2000-01-05T00:00:00,USA,United States of America,,,,FALSE,NA,J,Player,TRUE,2026-09-08T11:33:03.309,2027-06-30T00:00:00,0,24,24,2,Forward,ALBA FEHERVAR,55990,NA,NA,TRN,Dolomiti Energia Trento,Trento,Trento,TRE,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCcz1CG/e4ce6137-6d3f-4072-9480-c0b9a9cd617d.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
003622,"BILAN, MIRO",Miro Bilan,Bilan,Bilan,MIRO,BILAN,BILAN,"Bilan, M.",CRO,Croatia,213,110,1989-07-21T00:00:00,CRO,Croatia,M1roB1lan,,,FALSE,NA,J,Player,TRUE,2026-09-09T11:27:01.552,2027-06-30T00:00:00,0,2,2,3,Center,PALLACANESTRO BRESCIA,56299,NA,NA,MRO,Maxima Roma,Maxima Roma,Maxima Roma,RMA,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHH/f1547a87-c0bf-41ab-bf7e-a0001649430d.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
007182,"BIRCH, KHEM",Khem Birch,"BIRCH, KHEM XAVIER","BIRCH, KHEM XAVIER",KHEM XAVIER,BIRCH,BIRCH,"Birch, K.",CAN,Canada,206,106,1992-09-28T00:00:00,CAN,Canada,,,,FALSE,NA,J,Player,TRUE,2026-09-08T15:37:40.751,2027-06-30T00:00:00,0,92,92,3,Center,FENERBAHCHE,56152,NA,NA,ARI,Aris Thessaloniki,Aris,Aris,ARI,FALSE,https://media-cdn.cortextech.io/77e0fd97-1489-4e3c-8e70-ca39075460c0.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
014843,"BISHOP, CHRISTIAN",Christian Bishop,"BISHOP, CHRISTIAN","BISHOP, CHRISTIAN",CHRISTIAN ANGELO,BISHOP,BISHOP,NA,USA,United States of America,200,109,2000-06-13T00:00:00,ITA,Italy,,,,FALSE,NA,J,Player,TRUE,2026-09-08T10:47:13.888,2027-06-30T00:00:00,0,13,13,3,Center,GALATASARAY ISTANBUL,55933,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/51e5c911-1136-4594-8df1-12a3fa110e29.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/51e5c911-1136-4594-8df1-12a3fa110e29.png,CLU,U-BT Cluj-Napoca,U-BT Cluj,Cluj,UBT,FALSE,https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
003452,"BLAZIC, JAKA",Jaka Blazic,Blazic,Blazic,JAKA,BLAZIC,BLAZIC,"Blazic, J.",SLO,Slovenia,196,94,1990-06-30T00:00:00,SLO,Slovenia,JakaBlazic,jakablazic,,FALSE,NA,J,Player,TRUE,2026-09-08T11:04:49.466,2027-06-30T00:00:00,0,11,11,1,Guard,CEDEVITA OLIMPIJA,55965,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOO0/b2048c88-cc8e-4d91-af7b-691157f153cd.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOO0/b2048c88-cc8e-4d91-af7b-691157f153cd.png,LJU,Cedevita Olimpija Ljubljana,Cedevita Olimp,Cedevita Olimpija,COL,FALSE,https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
014836,"BOAKYE, ENOCH",Enoch Boakye,"BOAKYE, ENOCH","BOAKYE, ENOCH",ENOCH OWUSU,BOAKYE,BOAKYE,NA,CAN,Canada,208,113,2003-03-24T00:00:00,CAN,Canada,NA,NA,NA,FALSE,NA,J,Player,TRUE,2026-09-08T10:37:33.771,2027-06-30T00:00:00,0,13,13,3,Center,SPIROU CHARLEROI,55915,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS5/9773a5ae-beec-4741-a842-650974290f4b.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS5/9773a5ae-beec-4741-a842-650974290f4b.png,VNC,Umana Reyer Venice,Reyer Venice,Reyer Venice,URV,FALSE,https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
